FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations,Runway Identifier,Surface Type,Runway Length, Runway Width
02461.65*A,26CA,BOECKMANN RANCH,WILTON,CA,AWP,SFO,PR,38-25-36.6770N,121-10-17.8080W,PR,,NON-NPIAS,,N,100,,2,0	,E/W	,DIRT,2200,50 
02295.82*H,1CA0,BOEING SANTA SUSANA,SIMI VALLEY,CA,AWP,LAX,PR,34-14-16.0130N,118-41-46.3250W,PR,,NON-NPIAS,,N,,,0,0	,H1	,ASPH,146,124 
01754.*A,0CL6,BOHUNK'S AIRPARK,LANCASTER,CA,AWP,LAX,PR,34-41-40.9440N,118-16-59.2750W,PR,,NON-NPIAS,,N,,,20,0	,09/27	,DIRT,1900,70 
02296.9*A,34CN,BONANZA HILLS,SNELLING,CA,AWP,SFO,PR,37-31-24.7690N,120-23-51.6900W,PR,,NON-NPIAS,,N,,,0,0	,07/25	,TRTD,4100,100 
02442.*A,95CA,BONEL,WHITLEY GARDEN,CA,AWP,SFO,PR,35-40-08.8900N,120-32-54.5880W,PR,,NON-NPIAS,,N,,,0,0	,17/35	,TURF,2000,50 
02241.1*A,CL77,BONNY DOON VILLAGE,SANTA CRUZ,CA,AWP,SFO,PR,37-04-13.8130N,122-07-38.8760W,PR,,NON-NPIAS,,N,,,2,0	,12/30	,ASPH,2200,50 
01340.25*A,D83,BOONVILLE,BOONVILLE,CA,AWP,SFO,PU,39-00-50.2301N,123-22-53.5917W,PU,,General Aviation,,N,,,10,5000	,13/31	,ASPH-G,2838,50 
01405.*A,CN13,BORGES - CLARKSBURG,CLARKSBURG,CA,AWP,SFO,PR,38-26-35.7000N,121-30-31.9000W,PR,,NON-NPIAS,,N,,AGRI,18,3000	,09/27	,TURF-G,2260,90 
01340.281*A,57CL,BORON AIRSTRIP,BORON,CA,AWP,LAX,PR,35-00-12.9120N,117-36-25.2110W,PR,,NON-NPIAS,,N,,,1,700	,07/25	,DIRT-F,2290,50 
01340.281*A,57CL,BORON AIRSTRIP,BORON,CA,AWP,LAX,PR,35-00-12.9120N,117-36-25.2110W,PR,,NON-NPIAS,,N,,,1,700	,14/32	,DIRT-F,1900,45 
01340.281*A,57CL,BORON AIRSTRIP,BORON,CA,AWP,LAX,PR,35-00-12.9120N,117-36-25.2110W,PR,,NON-NPIAS,,N,,,1,700	,17/35	,DIRT-F,2400,40 
01340.35*A,58CL,BORREGO AIR RANCH,BORREGO SPRINGS,CA,AWP,LAX,PR,33-11-30.1480N,116-16-33.0330W,PR,,NON-NPIAS,,N,,,19,0	,08/26	,ASPH,2650,45 
01340.35*A,58CL,BORREGO AIR RANCH,BORREGO SPRINGS,CA,AWP,LAX,PR,33-11-30.1480N,116-16-33.0330W,PR,,NON-NPIAS,,N,,,19,0	,18/36	,ASPH-DIRT,2000,100 
01340.3*A,L08,BORREGO VALLEY,BORREGO SPRINGS,CA,AWP,LAX,PU,33-15-32.5000N,116-19-15.5000W,PU,,General Aviation,,N,100LL,INSTR  PAJA,13,19554	,08/26	,ASPH-G,5011,75 
01660.*A,65CN,BOTTIMORE RANCH,HERALD,CA,AWP,SFO,PR,38-18-14.6890N,121-15-03.8110W,PR,,NON-NPIAS,,N,,,1,0	,E/W	,TREATED,2900,25 
01778.7*A,18CL,BOWLES,LIVE OAK,CA,AWP,SFO,PR,39-17-09.6020N,121-41-38.8970W,PR,,NON-NPIAS,,N,,,6,0	,15/33	,ASPH-GRVL,2600,50 
01757.*A,POC,BRACKETT FIELD,LA VERNE,CA,AWP,LAX,PU,34-05-30.0000N,117-46-54.4000W,PU,,Reliever,,Y,100LLA,AMB  AVNCS  CHTR  INSTR  RNTL  SALES  SURV,223,115608	,08L/26R	,ASPH-G,3661,75 
